,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage Gelderland,Dike Investment Costs Gelderland,Expected Number of Deaths in Gelderland,Expected Annual Damage Overijssel,Dike Investment Costs Overijssel,Expected Number of Deaths in Overijssel,RfR Total Costs,Expected Total Evacuation Costs
1151,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,6,4,0,7,3,0,0,57811926.33,119121445.2,0.04000291,8137636.02,56359915.62,0.003589817,146000000,0
1152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,3,0,336584008,0,0.233837262,0,101957732.2,0,84600000,0
1153,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,3,7,0,0,0,0,0,4,7,3,0,1,0,0,227438553.9,198830066.8,0.142047389,0,49993794.16,0,558500000,0
1154,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,6,3,0,7,0,1,7,7,4,2,1,0,6,0,0,0,353936234.3,0,2231664.957,54365907.69,0.000608259,581600000,0
1155,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,2,0,7,0,2,0,6,4,4,1,0,0,2,11871449.06,166319779.7,0.000789209,13111313.39,56633370.78,0.000845482,388400000,564.7773036
1156,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,7,3,6,1,3,0,3,0,7,0,2,2,0,0,0,12185875.32,356380328.1,0.000664716,29181511.65,15173808.63,0.00143343,460200000,1204.677533
1157,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,6,0,4,5,3,6,3,2,6,3,0,0,0,262521789.1,0,24412908.06,61803602.69,0.010769451,673800000,0
1158,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3,0,1,3,4,0,3,1,0,0,86005311.3,93166887.12,0.006326279,53469245.58,44401842.11,0.002803813,115300000,3639.386123
1159,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,7,6,0,3,7,6,5,4,0,3,3,1,0,310707677.5,0,8137636.02,117089059.1,0.003589817,146000000,0
1160,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,7,0,2,0,1,2,2,3,2,10,3,0,7,0,2554584.64,225416367.6,0.000141279,38057024.52,85978256.73,0.001969708,321100000,1207.571268
1161,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,1,0,3,7,4,2,6,7,0,85545670.39,179168392.6,0.07368309,0,131476489.4,0,169200000,0
1162,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,1,1,6,2,7,9,4,4,0,52822265.05,188915089.5,0.021241722,0,118691388.3,0,61400000,0
1163,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,7,4,0,1,7,2,1,5,1,2,0,0,0,0,18853098.28,318470940.9,0.008390547,13111313.39,13903423.98,0.005636548,473000000,0
1164,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,3,0,0,0,7,0,3,3,0,7,3,7,0,58182363.94,107127493.1,0.003115384,0,103459585.5,0,236500000,1501.849627
1165,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,2,3,0,1,1,4,1,2,0,0,0,0,264901141.2,224234824.2,0.087705816,38915204.1,13903423.98,0.016814437,151900000,0
1166,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,4,1,4,0,0,3,6,6,3,0,0,8,6,0,0,240017222.7,0,0,109610918,0,589200000,0
1167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,3,0,6,4,2,3,0,0,0,125202446.4,147995096.7,0.05582,25489507.7,28423546.01,0.010854935,340700000,0
1168,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,4,0,5,5,3,4,0,6,2,0,5,0,0,11934334.31,230938069.9,0.005316975,0,58232896.99,0,607900000,0
1169,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,7,0,1,7,0,1,6,0,3,6,0,0,7,0,0,0,292206726.8,0,0,56779971.54,0,710400000,0
1170,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,4,0,6,0,1,5,7,7,3,6,5,7,2,0,0,281177085.3,0,0,116436344.7,0,394500000,0
