,discount rate 0,discount rate 1,discount rate 2,A.0_ID flood wave shape,A.1_Bmax,A.1_pfail,A.1_Brate,A.2_Bmax,A.2_pfail,A.2_Brate,A.3_Bmax,A.3_pfail,A.3_Brate,A.4_Bmax,A.4_pfail,A.4_Brate,A.5_Bmax,A.5_pfail,A.5_Brate,Expected Annual Damage Gelderland,Dike Investment Costs Gelderland,Expected Number of Deaths in Gelderland,Expected Annual Damage Overijssel,Dike Investment Costs Overijssel,Expected Number of Deaths in Overijssel,RfR Total Costs,Expected Total Evacuation Costs
13,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",68,32.08479884,0.575739815,"Category('1.0', 1.0)",266.9083583,0.997367581,"Category('1.0', 1.0)",32.2696192,0.573998772,"Category('1.5', 1.5)",81.42876031,0.968103482,"Category('10', 10)",157.191062,0.00121398,"Category('10', 10)",242758314.1,0,0.218163264,1540544265,0,0.974994713,0,0
14,"Category('2.5', 2.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",102,71.95845998,0.509392845,"Category('10', 10)",209.8527362,0.668279257,"Category('1.0', 1.0)",32.62551839,0.21755662,"Category('1.0', 1.0)",135.6762947,0.903052814,"Category('1.0', 1.0)",250.9519134,0.000121487,"Category('1.5', 1.5)",1660968005,0,2.114829793,1345431657,0,0.913449828,0,0
15,"Category('2.5', 2.5)","Category('2.5', 2.5)","Category('4.5', 4.5)",21,33.267653,0.411047592,"Category('1.0', 1.0)",153.2302361,0.369697616,"Category('10', 10)",30.00162284,0.133778706,"Category('1.5', 1.5)",83.42225264,0.192901604,"Category('1.5', 1.5)",122.1621517,4.58E-05,"Category('1.0', 1.0)",2954282785,0,4.138959584,908195046.2,0,0.805017775,0,0
16,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",121,40.74890814,0.323372982,"Category('1.5', 1.5)",233.5502936,0.913728783,"Category('10', 10)",36.26748009,0.733794975,"Category('10', 10)",98.34932936,0.596050119,"Category('10', 10)",212.1340574,0.001174393,"Category('1.0', 1.0)",3702494022,0,1.851378923,1438862694,0,0.89850259,0,0
17,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",52,30.58485387,0.305219774,"Category('1.0', 1.0)",210.9203776,0.591021592,"Category('10', 10)",66.53320363,0.528619492,"Category('10', 10)",151.8436325,0.497872421,"Category('1.5', 1.5)",31.21564813,0.010110885,"Category('1.0', 1.0)",3770007214,0,1.927200654,1436123270,0,0.89496114,0,0
18,"Category('1.5', 1.5)","Category('2.5', 2.5)","Category('1.5', 1.5)",45,47.70915612,0.336907174,"Category('1.0', 1.0)",62.20315593,0.079987833,"Category('1.0', 1.0)",30.30837571,0.132895217,"Category('10', 10)",49.76034894,0.109276212,"Category('1.5', 1.5)",79.70515136,0.011147184,"Category('1.5', 1.5)",6410634943,0,5.417660721,1012097382,0,0.641302896,0,0
19,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",54,33.39672092,0.29419118,"Category('10', 10)",120.878276,0.63026852,"Category('10', 10)",35.39432434,0.174115467,"Category('10', 10)",44.35150315,0.450399577,"Category('1.5', 1.5)",61.07832331,2.94E-05,"Category('10', 10)",5192459433,0,3.71207114,1272489260,0,0.775460128,0,0
20,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",52,30.00325458,0.169430626,"Category('10', 10)",347.7015343,0.910280364,"Category('1.5', 1.5)",44.18385992,0.205178046,"Category('1.0', 1.0)",97.68863447,0.829757186,"Category('10', 10)",109.1897831,0.004555437,"Category('1.0', 1.0)",4742817207,0,3.182120396,1309188199,0,0.805799844,0,0
21,"Category('2.5', 2.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",79,30.09375824,0.361865674,"Category('1.5', 1.5)",301.0690994,0.946681506,"Category('10', 10)",335.2448069,0.728054784,"Category('1.5', 1.5)",155.8247692,0.475101961,"Category('10', 10)",138.8286797,0.009097881,"Category('1.5', 1.5)",2089612616,0,1.164069072,1358838385,0,0.916130185,0,0
22,"Category('4.5', 4.5)","Category('3.5', 3.5)","Category('3.5', 3.5)",120,30.48891171,0.32365902,"Category('1.0', 1.0)",60.56870254,0.457889997,"Category('1.0', 1.0)",32.13893063,0.105726076,"Category('1.0', 1.0)",60.58534436,0.595841733,"Category('10', 10)",106.5994627,2.68E-07,"Category('1.5', 1.5)",3649140687,0,5.060994678,757701603.6,0,0.808089954,0,0
23,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",131,30.85214054,0.258775282,"Category('1.5', 1.5)",87.53665209,0.502396605,"Category('1.0', 1.0)",30.5483832,0.532181086,"Category('1.5', 1.5)",46.57023634,0.473824439,"Category('1.5', 1.5)",156.4046364,4.20E-05,"Category('10', 10)",3773390948,0,1.910354119,1405634969,0,0.869233272,0,0
24,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",6,34.81607112,0.345322406,"Category('1.0', 1.0)",100.758251,0.408379562,"Category('10', 10)",33.03755962,0.1695937,"Category('1.5', 1.5)",115.4931079,0.601469396,"Category('10', 10)",179.1566575,1.57E-07,"Category('10', 10)",4735637157,0,3.922672559,1308836905,0,0.805510164,0,0
25,"Category('3.5', 3.5)","Category('1.5', 1.5)","Category('2.5', 2.5)",6,55.66915636,0.412835545,"Category('1.0', 1.0)",81.85390241,0.617102635,"Category('1.5', 1.5)",30.57780872,0.207521672,"Category('1.0', 1.0)",74.61597433,0.428873483,"Category('1.0', 1.0)",165.0122906,1.91E-06,"Category('10', 10)",2066866449,0,2.508463429,1153175828,0,0.90257571,0,0
26,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('1.5', 1.5)",93,342.7751123,0.954906133,"Category('1.0', 1.0)",271.6583896,0.843520534,"Category('1.0', 1.0)",189.9205421,0.880110214,"Category('1.5', 1.5)",199.3527281,0.552264289,"Category('10', 10)",287.1859169,0.014741222,"Category('1.5', 1.5)",67598798.67,0,0.077787469,1554943437,0,0.978929011,0,0
27,"Category('1.5', 1.5)","Category('1.5', 1.5)","Category('4.5', 4.5)",7,30.21514713,0.386401291,"Category('1.5', 1.5)",270.5264743,0.983630778,"Category('1.0', 1.0)",30.01822851,0.105433456,"Category('1.5', 1.5)",60.65007243,0.882638682,"Category('10', 10)",180.709859,1.14E-05,"Category('10', 10)",3523010534,0,4.065996429,1120626384,0,0.830382399,0,0
